ACTOR_ID;FIRSTNAME;LASTNAME;SEX;BIRTHDATE;CREATION_DATE;UPDATE_DATE;OBJECT_VERSION
17;actor.firstname17;actor.lastname17;M;1972-02-08;2010-11-01 11:38:41;2010-11-01 11:38:41;0
18;actor.firstname18;actor.lastname18;F;1988-07-02;2010-11-01 23:38:18;2010-11-01 23:38:18;0
19;actor.firstname19;actor.lastname19;F;1963-03-05;2010-11-01 11:26:36;2010-11-01 11:26:36;0
20;actor.firstname20;actor.lastname20;M;1976-05-03;2010-11-01 11:43:57;2010-11-01 11:43:57;0
21;actor.firstname21;actor.lastname21;F;1964-02-05;2010-11-01 22:21:28;2010-11-01 22:21:28;0
22;actor.firstname22;actor.lastname22;M;1978-01-06;2010-11-01 12:16:17;2010-11-01 12:16:17;0
23;actor.firstname23;actor.lastname23;M;1989-02-05;2010-11-01 21:55:12;2010-11-01 21:55:12;0
24;actor.firstname24;actor.lastname24;M;1973-02-08;2010-11-01 12:36:22;2010-11-01 12:36:22;0
25;actor.firstname25;actor.lastname25;F;1985-07-06;2010-11-01 11:52:24;2010-11-01 11:52:24;0
26;actor.firstname26;actor.lastname26;F;1975-04-02;2010-11-01 23:19:56;2010-11-01 23:19:56;0
27;actor.firstname27;actor.lastname27;F;1977-02-03;2010-11-01 13:27:26;2010-11-01 13:27:26;0
28;actor.firstname28;actor.lastname28;M;1971-04-03;2010-11-01 13:43:59;2010-11-01 13:43:59;0
29;actor.firstname29;actor.lastname29;F;1972-05-01;2010-11-01 12:46:56;2010-11-01 12:46:56;0
30;actor.firstname30;actor.lastname30;F;1986-04-06;2010-11-01 12:34:43;2010-11-01 12:34:43;0
31;actor.firstname31;actor.lastname31;F;1973-04-02;2010-11-01 11:15:52;2010-11-01 11:15:52;0
32;actor.firstname32;actor.lastname32;M;1967-03-04;2010-11-01 11:26:21;2010-11-01 11:26:21;0
33;actor.firstname33;actor.lastname33;M;1961-06-05;2010-11-01 12:25:19;2010-11-01 12:25:19;0
34;actor.firstname34;actor.lastname34;F;1962-08-01;2010-11-01 23:29:43;2010-11-01 23:29:43;0
35;actor.firstname35;actor.lastname35;M;1982-05-08;2010-11-01 23:29:45;2010-11-01 23:29:45;0
36;actor.firstname36;actor.lastname36;F;1982-06-04;2010-11-01 13:35:29;2010-11-01 13:35:29;0
37;actor.firstname37;actor.lastname37;F;1966-06-07;2010-11-01 22:17:44;2010-11-01 22:17:44;0
38;actor.firstname38;actor.lastname38;M;1981-01-05;2010-11-01 22:54:14;2010-11-01 22:54:14;0
39;actor.firstname39;actor.lastname39;M;1981-05-02;2010-11-01 23:53:16;2010-11-01 23:53:16;0
40;actor.firstname40;actor.lastname40;F;1987-09-07;2010-11-01 23:47:33;2010-11-01 23:47:33;0
41;actor.firstname41;actor.lastname41;M;1971-07-09;2010-11-01 12:18:38;2010-11-01 12:18:38;0
42;actor.firstname42;actor.lastname42;F;1976-05-04;2010-11-01 22:42:26;2010-11-01 22:42:26;0
43;actor.firstname43;actor.lastname43;F;1984-01-06;2010-11-01 11:25:54;2010-11-01 11:25:54;0
44;actor.firstname44;actor.lastname44;M;1983-03-05;2010-11-01 23:26:57;2010-11-01 23:26:57;0
45;actor.firstname45;actor.lastname45;F;1988-04-01;2010-11-01 22:46:58;2010-11-01 22:46:58;0
46;actor.firstname46;actor.lastname46;F;1989-03-02;2010-11-01 22:28:52;2010-11-01 22:28:52;0
47;actor.firstname47;actor.lastname47;M;1977-09-06;2010-11-01 23:38:49;2010-11-01 23:38:49;0
48;actor.firstname48;actor.lastname48;M;1981-06-08;2010-11-01 12:53:52;2010-11-01 12:53:52;0
49;actor.firstname49;actor.lastname49;M;1961-08-02;2010-11-01 12:36:23;2010-11-01 12:36:23;0
50;actor.firstname50;actor.lastname50;M;1973-09-06;2010-11-01 13:28:52;2010-11-01 13:28:52;0
51;actor.firstname51;actor.lastname51;F;1975-08-07;2010-11-01 12:21:57;2010-11-01 12:21:57;0
52;actor.firstname52;actor.lastname52;M;1983-06-01;2010-11-01 11:17:33;2010-11-01 11:17:33;0
53;actor.firstname53;actor.lastname53;M;1986-02-02;2010-11-01 21:42:31;2010-11-01 21:42:31;0
54;actor.firstname54;actor.lastname54;M;1987-04-09;2010-11-01 12:49:33;2010-11-01 12:49:33;0
55;actor.firstname55;actor.lastname55;F;1965-02-01;2010-11-01 11:11:42;2010-11-01 11:11:42;0
56;actor.firstname56;actor.lastname56;M;1977-03-06;2010-11-01 12:12:48;2010-11-01 12:12:48;0
57;actor.firstname57;actor.lastname57;M;1963-01-05;2010-11-01 21:27:56;2010-11-01 21:27:56;0
58;actor.firstname58;actor.lastname58;M;1983-04-07;2010-11-01 12:17:42;2010-11-01 12:17:42;0
59;actor.firstname59;actor.lastname59;F;1988-07-07;2010-11-01 23:23:29;2010-11-01 23:23:29;0
60;actor.firstname60;actor.lastname60;F;1968-09-01;2010-11-01 21:51:39;2010-11-01 21:51:39;0
61;actor.firstname61;actor.lastname61;F;1963-08-02;2010-11-01 21:39:57;2010-11-01 21:39:57;0
62;actor.firstname62;actor.lastname62;F;1968-08-04;2010-11-01 22:46:54;2010-11-01 22:46:54;0
63;actor.firstname63;actor.lastname63;F;1963-07-07;2010-11-01 13:22:41;2010-11-01 13:22:41;0
64;actor.firstname64;actor.lastname64;F;1982-04-07;2010-11-01 21:23:14;2010-11-01 21:23:14;0
65;actor.firstname65;actor.lastname65;F;1961-09-06;2010-11-01 11:34:44;2010-11-01 11:34:44;0
66;actor.firstname66;actor.lastname66;F;1984-04-02;2010-11-01 12:48:57;2010-11-01 12:48:57;0
67;actor.firstname67;actor.lastname67;M;1978-02-09;2010-11-01 11:37:31;2010-11-01 11:37:31;0
68;actor.firstname68;actor.lastname68;M;1984-04-05;2010-11-01 21:24:21;2010-11-01 21:24:21;0
69;actor.firstname69;actor.lastname69;F;1963-03-08;2010-11-01 23:48:53;2010-11-01 23:48:53;0
70;actor.firstname70;actor.lastname70;F;1962-04-03;2010-11-01 23:16:26;2010-11-01 23:16:26;0
71;actor.firstname71;actor.lastname71;F;1967-04-08;2010-11-01 22:36:15;2010-11-01 22:36:15;0
72;actor.firstname72;actor.lastname72;F;1987-01-06;2010-11-01 12:33:51;2010-11-01 12:33:51;0
73;actor.firstname73;actor.lastname73;M;1977-05-09;2010-11-01 12:48:21;2010-11-01 12:48:21;0
74;actor.firstname74;actor.lastname74;F;1981-09-01;2010-11-01 21:39:14;2010-11-01 21:39:14;0
75;actor.firstname75;actor.lastname75;M;1966-04-02;2010-11-01 22:47:21;2010-11-01 22:47:21;0
76;actor.firstname76;actor.lastname76;M;1962-01-04;2010-11-01 22:59:12;2010-11-01 22:59:12;0
77;actor.firstname77;actor.lastname77;F;1973-02-09;2010-11-01 11:59:38;2010-11-01 11:59:38;0
78;actor.firstname78;actor.lastname78;F;1986-02-07;2010-11-01 11:14:19;2010-11-01 11:14:19;0
79;actor.firstname79;actor.lastname79;M;1964-02-09;2010-11-01 21:15:54;2010-11-01 21:15:54;0
80;actor.firstname80;actor.lastname80;M;1978-04-06;2010-11-01 12:46:32;2010-11-01 12:46:32;0
81;actor.firstname81;actor.lastname81;M;1965-07-02;2010-11-01 12:39:23;2010-11-01 12:39:23;0
82;actor.firstname82;actor.lastname82;F;1981-05-09;2010-11-01 11:17:34;2010-11-01 11:17:34;0
83;actor.firstname83;actor.lastname83;M;1987-05-08;2010-11-01 12:38:22;2010-11-01 12:38:22;0
84;actor.firstname84;actor.lastname84;M;1982-05-06;2010-11-01 12:27:22;2010-11-01 12:27:22;0
85;actor.firstname85;actor.lastname85;F;1984-06-01;2010-11-01 13:35:32;2010-11-01 13:35:32;0
86;actor.firstname86;actor.lastname86;F;1975-03-06;2010-11-01 22:27:17;2010-11-01 22:27:17;0
87;actor.firstname87;actor.lastname87;M;1987-02-04;2010-11-01 13:47:13;2010-11-01 13:47:13;0
88;actor.firstname88;actor.lastname88;F;1975-07-07;2010-11-01 13:59:15;2010-11-01 13:59:15;0
89;actor.firstname89;actor.lastname89;F;1975-07-08;2010-11-01 12:47:26;2010-11-01 12:47:26;0
90;actor.firstname90;actor.lastname90;F;1975-08-02;2010-11-01 12:51:49;2010-11-01 12:51:49;0
91;actor.firstname91;actor.lastname91;F;1961-08-03;2010-11-01 13:57:21;2010-11-01 13:57:21;0
92;actor.firstname92;actor.lastname92;F;1964-02-06;2010-11-01 12:29:52;2010-11-01 12:29:52;0
93;actor.firstname93;actor.lastname93;M;1974-09-05;2010-11-01 22:55:53;2010-11-01 22:55:53;0
94;actor.firstname94;actor.lastname94;M;1968-07-02;2010-11-01 11:51:31;2010-11-01 11:51:31;0
95;actor.firstname95;actor.lastname95;M;1978-03-02;2010-11-01 12:52:49;2010-11-01 12:52:49;0
96;actor.firstname96;actor.lastname96;M;1986-04-04;2010-11-01 13:59:15;2010-11-01 13:59:15;0
97;actor.firstname97;actor.lastname97;M;1974-01-04;2010-11-01 22:42:18;2010-11-01 22:42:18;0
98;actor.firstname98;actor.lastname98;F;1969-02-03;2010-11-01 21:11:43;2010-11-01 21:11:43;0
99;actor.firstname99;actor.lastname99;F;1973-09-09;2010-11-01 12:52:42;2010-11-01 12:52:42;0
100;actor.firstname100;actor.lastname100;M;1965-06-06;2010-11-01 22:41:23;2010-11-01 22:41:23;0
